Number,title,artist,artist birth year,artist age,release year,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,No Scrubs,TLC,1970,29,1999,atl hip hop,93,68,74,-4,7,59,214,3,10,79
2,I Want It That Way,Backstreet Boys,1975,24,1999,boy band,99,70,69,-6,16,48,214,22,3,76
3,"Because You Loved Me (Theme from ""Up Close and Personal"")",CÃ©line Dion,1968,28,1996,canadian pop,120,47,61,-10,10,18,274,31,3,74
4,Big Poppa - 2005 Remaster,The Notorious B.I.G.,1972,22,1994,east coast hip hop,84,58,78,-7,14,76,253,43,27,74
5,I Got 5 On It,Luniz,1993,2,1995,g funk,174,71,60,-8,13,58,254,21,36,73
6,Boom Boom Boom Boom!!,Vengaboys,1974,24,1998,bubblegum dance,138,89,80,-7,3,97,202,1,4,73
7,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,1975,22,1997,boy band,108,85,73,-4,27,61,225,4,4,73
8,Bed Of Roses,Bon Jovi,1962,30,1992,glam metal,165,60,31,-6,21,16,394,10,3,73
9,Don't Look Back in Anger - Remastered,Oasis,1970,25,1995,britpop,163,94,33,-3,15,33,290,7,6,73
10,Always Be My Baby,Mariah Carey,1970,25,1995,dance pop,79,53,65,-8,25,49,258,46,4,73
11,Angels,Robbie Williams,1974,23,1997,dance pop,150,59,43,-6,10,24,265,16,3,73
12,Return of the Mack,Mark Morrison,1972,24,1996,british soul,95,83,72,-5,16,61,213,1,11,72
13,Pony,Ginuwine,1970,29,1999,dance pop,142,61,75,-9,12,97,252,0,9,72
14,Freed From Desire,Gala,1975,22,1997,eurodance,129,86,70,-4,10,64,213,59,5,71
15,Better Off Alone,Alice DJ,1973,25,1998,europop,137,82,67,-9,29,76,218,0,6,71
16,Hero,Mariah Carey,1970,23,1993,dance pop,120,38,50,-9,12,18,258,74,3,71
17,End Of The Road,Boyz II Men,1972,19,1991,boy band,150,43,64,-9,6,53,351,7,2,71
18,I'll Be Missing You (feat. 112),Diddy,1969,28,1997,dance pop,110,48,86,-9,59,93,302,5,6,71
19,Forgot About Dre,Dr. Dre,1965,34,1999,g funk,134,74,92,-1,16,62,222,8,8,71
20,Fantasy,Mariah Carey,1970,25,1995,dance pop,102,73,67,-8,12,80,243,14,4,70
21,Who Am I (What's My Name)?,Snoop Dogg,1971,22,1993,g funk,97,83,69,-4,52,69,246,0,5,70
22,Mr. Vain - Original Radio Edit,Culture Beat,1964,29,1993,bubblegum dance,133,100,70,-8,12,39,257,7,4,69
23,Spending My Time,Roxette,1958.5,32.5,1991,europop,171,57,42,-5,13,22,276,24,3,69
24,Let's Get Loud,Jennifer Lopez,1969,30,1999,dance pop,131,94,82,-5,35,91,239,14,6,69
25,The Rhythm of the Night,Corona,1968,26,1994,bubblegum dance,128,81,69,-12,10,80,264,0,3,69
26,The Power of Love,Celine Dion,1968,25,1993,canadian pop,140,52,55,-9,24,25,342,36,3,68
27,Narcotic - Radio Edit,Liquido,1975,23,1998,german alternative rock,102,61,62,-7,9,45,236,0,2,68
28,Miami,Will Smith,1968,29,1997,hip hop,108,53,88,-6,4,89,198,3,15,68
29,Hypnotize - 2007 Remaster,The Notorious B.I.G.,1972,25,1997,east coast hip hop,94,69,90,-4,29,63,230,18,28,68
30,3AM,Matchbox Twenty,1969.25,26.75,1996,neo mellow,108,67,52,-9,12,54,226,1,3,68
31,High,Lighthouse Family,1965,32,1997,europop,102,63,66,-9,13,59,308,11,3,68
32,L'Amour Toujours,Gigi D'Agostino,1967,32,1999,eurodance,139,73,62,-8,36,81,239,3,3,67
33,"Rhythm Is A Dancer - 7"" Edit",SNAP!,1967,25,1992,diva house,124,75,79,-11,14,71,226,27,4,67
34,Say My Name,Destiny's Child,1980.333333,18.66666667,1999,dance pop,67,68,52,-4,13,75,271,27,16,67
35,Heal the World,Michael Jackson,1958,33,1991,pop,81,49,53,-8,10,10,384,54,5,67
36,The Boy Is Mine,Brandy,1979.5,18.5,1998,dance pop,93,71,70,-7,32,76,295,54,4,66
37,Weak,SWV,1971.333333,20.66666667,1992,dance pop,128,53,69,-11,7,57,292,11,4,66
38,Walking in Memphis,Cher,1946,49,1995,dance pop,129,68,70,-7,17,53,235,59,3,66
39,Angel of Mine - Radio Mix,Monica,1980,18,1998,dance pop,90,56,59,-7,22,21,250,0,2,66
40,Picture Of You,Boyzone,1952,45,1997,boy band,117,92,76,-6,37,88,206,10,4,65
41,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",CÃ©line Dion,1968,24,1992,canadian pop,77,40,46,-10,13,12,249,64,3,65
42,Run To You,Bryan Adams,1959,25,1984,album rock,127,81,56,-6,29,64,233,1,3,65
43,No Matter What,Boyzone,1952,46,1998,boy band,93,42,70,-9,14,53,274,19,2,65
44,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,1972,26,1998,bubblegum dance,128,97,82,-11,39,77,284,26,6,64
45,Dreams,Gabrielle,1970,23,1993,british soul,99,47,75,-14,22,57,223,17,4,64
46,Fading Like a Flower (Every Time You Leave),Roxette,1958.5,32.5,1991,europop,105,67,61,-6,22,32,231,20,3,64
47,It's Not Right But It's Okay,Whitney Houston,1963,35,1998,dance pop,128,80,81,-7,7,53,292,16,10,64
48,Stay Another Day,East 17,1972,22,1994,boy band,128,49,52,-8,19,44,267,58,3,63
49,A Whole New World (Aladdin's Theme),Peabo Bryson,1951,42,1993,adult standards,108,32,52,-10,14,13,243,63,3,63
50,Encore Une Fois - Future Breeze Edit,Sash!,1970,27,1997,bubblegum dance,133,93,66,-7,19,84,221,1,4,62
51,Incomplete,Sisqo,1978,21,1999,dance pop,119,44,75,-8,14,27,274,28,8,62
52,Juicy - 2007 Remaster,The Notorious B.I.G.,1972,22,1994,east coast hip hop,96,82,87,-5,15,79,301,48,26,62
53,Mysterious Girl - Radio Edit,Peter Andre,1973,22,1995,europop,172,82,66,-6,30,86,217,14,21,62
54,I Have Nothing - Film Version,Whitney Houston,1963,29,1992,dance pop,153,45,49,-9,9,17,296,76,3,61
55,I Promised Myself,Nick Kamen,1962,28,1990,,128,80,58,-12,3,69,241,0,3,61
56,Relight My Fire (feat. Lulu),Take That,1969.5,23.5,1993,boy band,123,94,65,-7,10,93,252,4,5,61
57,More And More - Single Version,Captain Hollywood Project,1962,31,1993,bubblegum dance,126,85,66,-12,9,71,254,23,3,60
58,Free - Mood II Swing Radio Edit,Ultra Naté,1968,29,1997,deep house,125,92,76,-6,4,74,233,0,4,60
59,"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,1947,47,1994,glam rock,161,39,30,-15,11,14,292,26,3,59
