Number,title,artist,artist birth year,artist age,year,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,bad guy,Billie Eilish,2001,18,2019,electropop,135,43,70,-11,10,56,194,33,38,94
2,7 rings,Ariana Grande,1993,26,2019,dance pop,140,32,78,-11,9,33,179,59,33,90
3,Old Town Road - Remix,Lil Nas X,1999,20,2019,country rap,136,62,88,-6,11,64,157,5,10,89
4,Se̱orita,Shawn Mendes,1998,21,2019,canadian pop,117,55,76,-6,8,75,191,4,3,88
5,rockstar (feat. 21 Savage),Post Malone,1995,23,2018,dfw rap,160,52,59,-6,13,13,218,12,7,88
6,SAD!,XXXTENTACION,1998,20,2018,emo rap,75,61,74,-5,12,47,167,26,14,87
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1995,24,2019,dfw rap,90,52,76,-4,7,93,158,53,6,86
8,God's Plan,Drake,1986,32,2018,canadian hip hop,77,45,75,-9,55,36,199,3,11,85
9,One Kiss (with Dua Lipa),Calvin Harris,1984,34,2018,dance pop,124,86,79,-3,8,59,215,4,11,85
10,Thunder,Imagine Dragons,1987,30,2017,modern rock,168,82,61,-5,15,29,187,1,4,85
11,I Fall Apart,Post Malone,1995,21,2016,dfw rap,144,54,56,-5,20,29,223,7,4,84
12,HUMBLE.,Kendrick Lamar,1987,30,2017,conscious hip hop,150,62,91,-7,10,42,177,0,10,84
13,Starboy,The Weeknd,1990,26,2016,canadian contemporary r&b,186,59,68,-7,14,49,230,14,28,84
14,FRIENDS,Marshmello,1992,26,2018,brostep,95,88,63,-2,13,53,203,21,5,83
15,Psycho (feat. Ty Dolla $ign),Post Malone,1995,23,2018,dfw rap,140,56,75,-8,11,46,221,55,11,83
16,Congratulations,Post Malone,1995,21,2016,dfw rap,123,80,63,-4,25,49,220,22,4,83
17,In My Feelings,Drake,1986,32,2018,canadian hip hop,91,63,84,-6,40,35,218,6,13,83
18,The Hills,The Weeknd,1990,25,2015,canadian contemporary r&b,113,56,58,-7,14,14,242,7,5,83
19,no tears left to cry,Ariana Grande,1993,25,2018,dance pop,122,71,70,-6,29,35,206,4,6,83
20,Dancing On My Own,Calum Scott,1988,30,2018,pop,113,17,68,-9,10,24,260,84,3,83
21,New Rules,Dua Lipa,1995,22,2017,dance pop,116,70,76,-6,15,61,209,0,7,83
22,Treat You Better,Shawn Mendes,1998,19,2017,canadian pop,83,82,44,-4,11,75,188,11,34,83
23,Something Just Like This,The Chainsmokers,1987,30,2017,electropop,103,64,62,-7,16,45,247,5,3,83
24,Happier,Ed Sheeran,1991,26,2017,pop,90,39,52,-7,14,24,208,54,3,82
25,Attention,Charlie Puth,1991,27,2018,dance pop,100,61,78,-5,13,80,209,11,5,82
26,IDGAF,Dua Lipa,1995,22,2017,dance pop,97,54,84,-6,8,51,218,4,9,82
27,There's Nothing Holdin' Me Back,Shawn Mendes,1998,19,2017,canadian pop,122,81,87,-4,8,97,199,38,6,82
